interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,gender,census_region,hispanic,race_ethnicity,household_income,education,state,congress_district,age,health_subsidies,medicare_for_all,age_group,vote_trump,vote_Biden,race
Hardly at all,Registered,Don't recall,Not sure,I would not vote,Liberal,Part-time employed,The United States,Male,South,Not Hispanic,"Black, or African American","Less than $14,999",Some college or associate degree,TN,TN09,20,Disagree,Not Asked,18-29 year olds,0,0,Black
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Retired,The United States,Male,South,Not Hispanic,White,"$75,000 to $99,999",Some college or associate degree,AL,AL03,40,Disagree,Not Asked,30-44 year olds,1,0,White
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Liberal,Unemployed or temporarily on layoff,The United States,Female,West,Mexican,Some other race,"Less than $14,999",Some college or associate degree,AZ,AZ04,32,Agree,Not Asked,30-44 year olds,1,0,Other
Hardly at all,Not registered,Was not eligible to vote,"No, I will not vote but I am eligible",I would not vote,Conservative,Unemployed or temporarily on layoff,The United States,Male,West,Not Hispanic,White,"$75,000 to $99,999",High school graduate,CA,CA04,18,Not sure,Not Sure,18-29 year olds,0,0,White
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Very Liberal,Student,The United States,Female,Midwest,Not Hispanic,"Black, or African American","$15,000 to $24,999",High school graduate,OH,OH11,18,Agree,Agree,18-29 year olds,0,1,Black
Most of the time,Not registered,"Did not vote, but was eligible",Not sure,Joe Biden,Moderate,Unemployed or temporarily on layoff,The United States,Female,South,Mexican,Some other race,"Less than $14,999",Didn't graduate from high school,LA,LA04,29,Agree,Not Asked,18-29 year olds,0,1,Other
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Someone else,Moderate,Full-time employed,The United States,Female,Midwest,Not Hispanic,Some other race,"Less than $14,999",NA,KS,KS01,19,Agree,Not Asked,18-29 year olds,0,0,Other
Only now and then,Registered,Gary Johnson,"No, I will not vote but I am eligible",Someone else,Moderate,Full-time employed,The United States,Male,South,Not Hispanic,White,"$15,000 to $24,999",High school graduate,AR,AR01,41,Disagree,Not Asked,30-44 year olds,0,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Homemaker,The United States,Female,West,Not Hispanic,White,"$55,000 to $74,999",Bachelor's degree or higher,UT,UT01,61,Agree,Not Asked,45-64 year olds,0,1,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Female,West,Mexican,Some other race,"$75,000 to $99,999",Didn't graduate from high school,AZ,AZ08,21,Not sure,Not Sure,18-29 year olds,0,1,Other
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,Male,West,Not Hispanic,White,"$25,000 to $34,999",Some college or associate degree,CA,CA25,69,Agree,Not Asked,65 years and older,0,1,White
Only now and then,Not registered,Was not eligible to vote,"No, I will not vote but I am eligible",I would not vote,Not Sure,Full-time employed,The United States,Male,Midwest,Not Hispanic,White,"$25,000 to $34,999",High school graduate,OH,OH08,43,Agree,Not Asked,30-44 year olds,0,0,White
Some of the time,Registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Joe Biden,Liberal,Full-time employed,The United States,Female,Northeast,Mexican,Some other race,"$150,000 and over",Some college or associate degree,MA,MA03,19,Agree,Not Asked,18-29 year olds,0,1,Other
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Student,The United States,Female,South,Mexican,White,"$75,000 to $99,999",Some college or associate degree,TX,TX21,22,Agree,Not Asked,18-29 year olds,0,1,White
Only now and then,Not registered,Was not eligible to vote,"No, I will not vote but I am eligible",Joe Biden,Moderate,Student,The United States,Male,West,Not Hispanic,White,"$25,000 to $34,999",Some college or associate degree,CA,CA44,28,Agree,Not Asked,18-29 year olds,0,1,White
Most of the time,Not registered,Was not eligible to vote,"Yes, I will vote",I am not sure/don't know,Moderate,Retired,Another country,Male,West,Mexican,Some other race,"Less than $14,999",Didn't graduate from high school,CA,CA38,29,Agree,Not Asked,18-29 year olds,0,0,Other
Some of the time,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I am not sure/don't know,Not Sure,Unemployed or temporarily on layoff,Another country,Male,South,Other Hispanic,Asian (Asian Indian),NA,Didn't graduate from high school,NC,NC04,19,Not sure,Not Sure,18-29 year olds,0,0,Asian
Some of the time,Registered,Someone else:,"Yes, I will vote",I am not sure/don't know,Not Sure,Full-time employed,The United States,Male,South,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,TX,TX12,39,Not sure,Not Asked,30-44 year olds,0,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Not Sure,Full-time employed,The United States,Male,South,Not Hispanic,White,"$150,000 and over",Bachelor's degree or higher,VA,VA10,39,Agree,Not Asked,30-44 year olds,0,1,White
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Conservative,Homemaker,Another country,Female,South,Not Hispanic,Asian (Filipino),NA,Bachelor's degree or higher,OK,OK05,41,Not sure,Not Asked,30-44 year olds,1,0,Asian
Some of the time,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Conservative,Full-time employed,The United States,Male,West,Mexican,Some other race,"$55,000 to $74,999",Some college or associate degree,ID,ID01,43,Disagree,Not Asked,30-44 year olds,0,0,Other
Only now and then,Registered,Don't recall,"Yes, I will vote",Donald Trump,Conservative,Unemployed or temporarily on layoff,The United States,Female,West,Not Hispanic,White,"Less than $14,999",Some college or associate degree,CA,CA26,69,Not sure,Not Asked,65 years and older,1,0,White
Some of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Donald Trump,Not Sure,Part-time employed,The United States,Male,South,Mexican,Some other race,"Less than $14,999",High school graduate,TX,TX28,39,Agree,Agree,30-44 year olds,1,0,Other
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Permanently disabled,The United States,Female,South,Not Hispanic,American Indian or Alaska Native,"Less than $14,999",Some college or associate degree,NC,NC09,46,Agree,Disagree,45-64 year olds,1,0,Native
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Part-time employed,The United States,Female,West,Not Hispanic,Asian (Chinese),"$100,000 to $149,999",Bachelor's degree or higher,CA,CA15,47,Disagree,Disagree,45-64 year olds,1,0,Asian
Most of the time,Not registered,Was not eligible to vote,"No, I will not vote but I am eligible",I am not sure/don't know,Very Liberal,Student,The United States,Male,West,Not Hispanic,White,"Less than $14,999",Didn't graduate from high school,CA,CA05,39,Agree,Not Asked,30-44 year olds,0,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Moderate,Homemaker,The United States,Female,Northeast,Other Hispanic,White,"$45,000 to $54,999",High school graduate,NY,NY18,58,Agree,Not Asked,45-64 year olds,0,0,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,Female,Northeast,Not Hispanic,"Black, or African American","$45,000 to $54,999",Bachelor's degree or higher,NJ,NJ10,45,Agree,Not Asked,45-64 year olds,0,1,Black
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,Male,West,Not Hispanic,White,"$75,000 to $99,999",NA,CA,CA12,30,Disagree,Not Asked,30-44 year olds,0,1,White
Some of the time,Registered,Someone else:,"Yes, I will vote",Someone else,Conservative,Full-time employed,The United States,Male,West,Not Hispanic,Asian (Chinese),"$150,000 and over",NA,CA,CA45,48,Agree,Not Asked,45-64 year olds,0,0,Asian
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Part-time employed,Another country,Male,Midwest,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,IL,IL06,65,Agree,Agree,65 years and older,0,1,White
Only now and then,Registered,Gary Johnson,"Yes, I will vote",Donald Trump,Moderate,Permanently disabled,Another country,Male,West,Not Hispanic,Asian (Filipino),"$55,000 to $74,999",Some college or associate degree,CA,CA03,36,Not sure,Not Asked,30-44 year olds,1,0,Asian
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",I am not sure/don't know,Very Liberal,Full-time employed,The United States,Female,West,Mexican,White,"$55,000 to $74,999",Bachelor's degree or higher,CA,CA26,35,Agree,Not Asked,30-44 year olds,0,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,Full-time employed,The United States,Male,South,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,AL,AL05,48,Disagree,Not Asked,45-64 year olds,1,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Male,South,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,DC,DC00,42,Agree,Not Asked,30-44 year olds,1,0,White
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,Male,South,Not Hispanic,White,"$15,000 to $24,999",Some college or associate degree,FL,FL10,50,Agree,Not Asked,45-64 year olds,0,1,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,Male,West,Not Hispanic,White,"$150,000 and over",Bachelor's degree or higher,CA,CA02,77,Agree,Not Asked,65 years and older,0,1,White
Some of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I am not sure/don't know,Not Sure,Permanently disabled,The United States,Male,West,Spanish,Some other race,"Less than $14,999",High school graduate,CA,CA51,55,Not sure,Not Asked,45-64 year olds,0,0,Other
Only now and then,Not registered,Donald Trump,"No, I am not eligible to vote",Donald Trump,Moderate,Self-employed,The United States,Male,South,Not Hispanic,White,"$100,000 to $149,999",Some college or associate degree,SC,SC03,28,Not sure,Not Asked,18-29 year olds,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Male,South,Not Hispanic,White,"$35,000 to $44,999",Some college or associate degree,VA,VA09,53,Agree,Not Sure,45-64 year olds,1,0,White
Only now and then,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Not Sure,Unemployed or temporarily on layoff,The United States,Male,West,Not Hispanic,American Indian or Alaska Native,"Less than $14,999",Didn't graduate from high school,AZ,AZ08,34,Agree,Not Asked,30-44 year olds,0,0,Native
Some of the time,Not registered,Was not eligible to vote,"No, I am not eligible to vote",Donald Trump,Moderate,Homemaker,Another country,Female,West,Not Hispanic,Asian (Other),"$15,000 to $24,999",Bachelor's degree or higher,WA,WA05,61,Agree,Agree,45-64 year olds,1,0,Asian
Some of the time,Not registered,Was not eligible to vote,Not sure,I am not sure/don't know,Moderate,Full-time employed,The United States,Male,Northeast,Not Hispanic,White,"$100,000 to $149,999",Some college or associate degree,PA,PA09,51,Not sure,Not Sure,45-64 year olds,0,0,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,Male,West,Not Hispanic,White,"$150,000 and over",Bachelor's degree or higher,CO,CO05,33,Agree,Agree,30-44 year olds,0,1,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Male,Northeast,Not Hispanic,White,"$100,000 to $149,999",Some college or associate degree,NY,NY12,40,Agree,Not Asked,30-44 year olds,1,0,White
Hardly at all,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Conservative,Retired,The United States,Male,Northeast,Not Hispanic,White,NA,Some college or associate degree,PA,PA13,65,Not sure,Not Asked,65 years and older,0,0,White
Some of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Joe Biden,Moderate,Unemployed or temporarily on layoff,The United States,Male,Midwest,Not Hispanic,White,"$15,000 to $24,999",High school graduate,MO,MO02,30,Agree,Not Sure,30-44 year olds,0,1,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Male,South,Mexican,Some other race,"$75,000 to $99,999",Bachelor's degree or higher,FL,FL14,42,Not sure,Not Asked,30-44 year olds,1,0,Other
Most of the time,Not registered,Was not eligible to vote,"No, I am not eligible to vote",Donald Trump,Moderate,Unemployed or temporarily on layoff,The United States,Female,South,Not Hispanic,American Indian or Alaska Native,"$25,000 to $34,999",Some college or associate degree,OK,OK05,52,Agree,Not Asked,45-64 year olds,1,0,Native
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,Full-time employed,The United States,Male,Northeast,Not Hispanic,White,"$150,000 and over",Bachelor's degree or higher,PA,PA02,39,Agree,Not Asked,30-44 year olds,1,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,Full-time employed,The United States,Male,Northeast,Not Hispanic,White,"$55,000 to $74,999",Bachelor's degree or higher,NY,NY16,45,Agree,Agree,45-64 year olds,1,0,White
Most of the time,Not registered,Was not eligible to vote,"No, I am not eligible to vote",Donald Trump,Conservative,Permanently disabled,The United States,Male,South,Not Hispanic,White,"Less than $14,999",Didn't graduate from high school,TX,TX19,36,Agree,Not Asked,30-44 year olds,1,0,White
Most of the time,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Very Liberal,Student,The United States,Female,West,Mexican,Some other race,"$35,000 to $44,999",Some college or associate degree,CA,CA28,19,Agree,Not Asked,18-29 year olds,0,1,Other
Some of the time,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Not Sure,Self-employed,The United States,Female,West,Mexican,White,"$25,000 to $34,999",Some college or associate degree,NM,NM02,45,Agree,Agree,45-64 year olds,0,0,White
Only now and then,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,Female,South,Not Hispanic,White,"$45,000 to $54,999",Bachelor's degree or higher,LA,LA03,49,Not sure,Not Asked,45-64 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Permanently disabled,The United States,Male,West,Not Hispanic,White,"Less than $14,999",High school graduate,OR,OR01,35,Agree,Not Asked,30-44 year olds,0,1,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Part-time employed,The United States,Male,Northeast,Not Hispanic,White,"Less than $14,999",High school graduate,CT,CT04,32,Agree,Agree,30-44 year olds,0,1,White
