interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,gender,census_region,hispanic,race_ethnicity,household_income,education,state,congress_district,age,health_subsidies,medicare_for_all,age_group,vote_trump,vote_Biden,race
Some of the time,Registered,Someone else:,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Female,Midwest,Not Hispanic,White,"$35,000 to $44,999",Bachelor's degree or higher,IA,IA01,53,Disagree,Agree,45-64 year olds,0,1,White
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,Female,South,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,GA,GA10,52,Agree,Not Asked,45-64 year olds,1,0,White
Some of the time,Registered,Gary Johnson,"Yes, I will vote",Someone else,Moderate,Full-time employed,The United States,Male,Midwest,Not Hispanic,White,"$75,000 to $99,999",Bachelor's degree or higher,IL,IL05,40,Agree,Not Asked,30-44 year olds,0,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Homemaker,The United States,Female,Northeast,Not Hispanic,White,"$75,000 to $99,999",Bachelor's degree or higher,NY,NY21,63,Agree,Not Asked,45-64 year olds,0,1,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,Another country,Female,West,Not Hispanic,White,"$25,000 to $34,999",Some college or associate degree,WA,WA05,63,Agree,Agree,45-64 year olds,0,1,White
Only now and then,Registered,Gary Johnson,"Yes, I will vote",Joe Biden,Liberal,Homemaker,The United States,Female,Midwest,Not Hispanic,White,"$55,000 to $74,999",Some college or associate degree,MI,MI01,38,Agree,Not Asked,30-44 year olds,0,1,White
Some of the time,Registered,Gary Johnson,"Yes, I will vote",I am not sure/don't know,Moderate,Retired,The United States,Female,South,Not Hispanic,White,"$55,000 to $74,999",High school graduate,SC,SC02,75,Disagree,Disagree,65 years and older,0,0,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Permanently disabled,The United States,Female,Midwest,Not Hispanic,White,"$55,000 to $74,999",Some college or associate degree,OH,OH05,45,Agree,Not Asked,45-64 year olds,0,1,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Unemployed or temporarily on layoff,The United States,Female,Midwest,Not Hispanic,White,"$45,000 to $54,999",High school graduate,IL,IL16,30,Disagree,Disagree,30-44 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,Female,Northeast,Not Hispanic,White,"$75,000 to $99,999",High school graduate,MA,MA08,66,Not sure,Not Sure,65 years and older,0,1,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,Another country,Female,Midwest,Not Hispanic,Asian (Chinese),"$75,000 to $99,999",Bachelor's degree or higher,MO,MO03,40,Agree,Agree,30-44 year olds,0,1,Asian
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,Female,West,Not Hispanic,White,"$55,000 to $74,999",Bachelor's degree or higher,CO,CO05,49,Agree,Agree,45-64 year olds,0,1,White
Some of the time,Not registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Moderate,Retired,The United States,Female,Midwest,Not Hispanic,White,"$45,000 to $54,999",Some college or associate degree,IL,IL15,57,Agree,Not Asked,45-64 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Someone else,Not Sure,Full-time employed,The United States,Female,South,Not Hispanic,White,"$25,000 to $34,999",Some college or associate degree,NC,NC13,59,Not sure,Not Asked,45-64 year olds,0,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Part-time employed,The United States,Female,South,Not Hispanic,White,"$75,000 to $99,999",Bachelor's degree or higher,NC,NC05,60,Not sure,Not Sure,45-64 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Retired,The United States,Female,Northeast,Not Hispanic,White,"$55,000 to $74,999",Bachelor's degree or higher,NY,NY13,68,Agree,Not Asked,65 years and older,0,1,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Female,Midwest,Not Hispanic,White,"$55,000 to $74,999",High school graduate,IN,IN04,58,Agree,Not Asked,45-64 year olds,1,0,White
Only now and then,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Female,West,Not Hispanic,Asian (Chinese),"$45,000 to $54,999",Bachelor's degree or higher,CA,CA33,33,Agree,Agree,30-44 year olds,0,1,Asian
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Donald Trump,Conservative,Unemployed or temporarily on layoff,The United States,Female,South,Not Hispanic,White,"$150,000 and over",Some college or associate degree,FL,FL01,26,Disagree,Disagree,18-29 year olds,1,0,White
Only now and then,Not registered,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Moderate,Homemaker,The United States,Female,South,Not Hispanic,White,NA,High school graduate,FL,FL02,22,Not sure,Not Sure,18-29 year olds,0,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,Female,Northeast,Not Hispanic,White,"$55,000 to $74,999",Some college or associate degree,PA,PA07,76,Agree,Not Asked,65 years and older,1,0,White
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Female,South,Not Hispanic,White,"$25,000 to $34,999",Some college or associate degree,SC,SC07,38,Not sure,Agree,30-44 year olds,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,Female,Midwest,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,IL,IL09,53,Disagree,Not Asked,45-64 year olds,1,0,White
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",I am not sure/don't know,Conservative,Student,The United States,Female,Northeast,Not Hispanic,"Black, or African American",NA,Some college or associate degree,PA,PA02,19,Agree,Not Asked,18-29 year olds,0,0,Black
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,Female,Midwest,Not Hispanic,White,"$15,000 to $24,999",Some college or associate degree,OH,OH14,64,Not sure,Not Sure,45-64 year olds,0,1,White
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Male,Northeast,Not Hispanic,White,"$75,000 to $99,999",Bachelor's degree or higher,NY,NY07,49,Agree,Agree,45-64 year olds,1,0,White
Hardly at all,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,Male,Midwest,Not Hispanic,White,"$55,000 to $74,999",Some college or associate degree,IA,IA02,66,Not sure,Not Sure,65 years and older,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,Female,Midwest,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,WI,WI05,56,Disagree,Disagree,45-64 year olds,1,0,White
